id,frontend_file,function_or_hook,trigger_type,http_method,api_path,request_body_or_query_summary,auth_required,role_required,backend_file,backend_handler,service_function,database_tables,external_services,response_shape,error_codes,cache_strategy,abort_or_cancel_support,idempotency_support,current_status,proof
API-015,frontend/src/pages/FarmerPortal.jsx,runCalculator,COMPONENT_MOUNT,POST,/api/realization/discover,"{crop: 'Soybean', quantityQtl: 50, farmerDistrict: district}",NO,FARMER,backend/src/routes/realizationRoutes.js,handleRealization,handleRealization,buyers,none,"{status: 'success', apmcRoute: {}, directRoute: {}}",400|500,NONE,NO,NO,PREMATURE,FarmerPortal.jsx:184 & 297 fires on mount before Calculator tab is active
API-016,frontend/src/pages/FarmerPortal.jsx,runCalculator,COMPONENT_MOUNT,POST,/api/realization/compare,"{crop: 'Soybean', quantityQtl: 50, farmerDistrict: district}",NO,FARMER,backend/src/routes/realizationRoutes.js,router.post(/compare),handleRealization,buyers,none,"{status: 'success', comparisons: []}",400|500,NONE,NO,NO,PREMATURE,FarmerPortal.jsx:184 & 298 fires on mount before Multi-Mandi tab is active
API-017,frontend/src/pages/FarmerPortal.jsx,api.createLot,FORM_SUBMIT,POST,/api/lots,"{farmer_name, farmer_phone, crop, variety, quantity_qtl, expected_price_per_qtl, farm_address, district}",NO,FARMER,backend/src/routes/marketRoutes.js,router.post(/lots),db.createLot,produce_lots|audit_logs|users,none,"{status: 'success', message, lot: {}}",400|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:394 triggers on lot publish/save
API-018,frontend/src/pages/FarmerPortal.jsx,api.updateLot,FORM_SUBMIT,PUT,/api/lots/:id,"{crop, variety, quantity_qtl, expected_price_per_qtl, ...}",NO,FARMER,backend/src/routes/marketRoutes.js,router.put(/lots/:id),db.updateLot,produce_lots,none,"{status: 'success', message, lot: {}}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:387 triggers on editing lot
API-019,frontend/src/pages/FarmerPortal.jsx,api.publishLot,BUTTON_CLICK,POST,/api/lots/:id/publish,:id path param,NO,FARMER,backend/src/routes/marketRoutes.js,router.post(/lots/:id/publish),db.publishLot,produce_lots,none,"{status: 'success', message, lot: {}}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:435 triggers on Publish Lot button
API-020,frontend/src/pages/FarmerPortal.jsx,api.cancelLot,BUTTON_CLICK,POST,/api/lots/:id/cancel,"{reason: string}",NO,FARMER,backend/src/routes/marketRoutes.js,router.post(/lots/:id/cancel),db.cancelLot,produce_lots,none,"{status: 'success', message, lot: {}}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:455 triggers on Cancel Lot button
API-021,frontend/src/pages/FarmerPortal.jsx,api.deleteLot,BUTTON_CLICK,DELETE,/api/lots/:id,:id path param,NO,FARMER,backend/src/routes/marketRoutes.js,router.delete(/lots/:id),db.deleteLot,produce_lots,none,"{status: 'success', message}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:471 triggers on Delete Lot button
API-022,frontend/src/pages/FarmerPortal.jsx,api.acceptOffer,BUTTON_CLICK,POST,/api/offers/:id/accept,:id path param,NO,FARMER,backend/src/routes/marketRoutes.js,router.post(/offers/:id/accept),db.acceptOffer,offers|deals|produce_lots|audit_logs,none,"{status: 'success', message, deal: {}}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:488 triggers on Accept Offer button
API-023,frontend/src/pages/FarmerPortal.jsx,api.rejectOffer,BUTTON_CLICK,POST,/api/offers/:id/reject,"{reason, actor_id}",NO,FARMER,backend/src/routes/marketRoutes.js,router.post(/offers/:id/reject),db.rejectOffer,offers,none,"{status: 'success', message, offer: {}}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:509 triggers on Reject Offer button
API-024,frontend/src/pages/FarmerPortal.jsx,api.counterOffer,BUTTON_CLICK,POST,/api/offers/:id/counter,"{counter_price_per_qtl, notes, actor_id}",NO,FARMER,backend/src/routes/marketRoutes.js,router.post(/offers/:id/counter),db.counterOffer,offers,none,"{status: 'success', message, offer: {}}",400|404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:543 triggers on Send Counter Offer button
API-025,frontend/src/pages/FarmerPortal.jsx,openDealContract,BUTTON_CLICK,GET,/api/deals/:id/contract,:id path param,NO,FARMER,backend/src/routes/marketRoutes.js,router.get(/deals/:id/contract),db.getDealContract,deals|produce_lots|users,none,"{status: 'success', contract: {}}",404|500,NONE,NO,NO,REQUIRED,FarmerPortal.jsx:248 triggers on View Contract button
API-026,frontend/src/pages/BuyerPortal.jsx,loadMarketData,COMPONENT_MOUNT,GET,/api/lots,none,NO,BUYER,backend/src/routes/marketRoutes.js,router.get(/lots),db.getLots,produce_lots,none,"{status: 'success', count: n, lots: []}",500,NONE,NO,NO,REQUIRED,BuyerPortal.jsx:225 on mount for marketplace listings (needs pagination)
API-027,frontend/src/pages/BuyerPortal.jsx,loadMarketData,COMPONENT_MOUNT,GET,/api/buyers,none,NO,BUYER,backend/src/routes/marketRoutes.js,router.get(/buyers),db.getBuyers,buyer_profiles|users,none,"{status: 'success', count: n, buyers: []}",500,NONE,NO,NO,UNNECESSARY,BuyerPortal.jsx:226 on mount fetches all competitors
API-028,frontend/src/pages/BuyerPortal.jsx,loadMarketData,COMPONENT_MOUNT,GET,/api/offers,"?buyer_id={id}",NO,BUYER,backend/src/routes/marketRoutes.js,router.get(/offers),db.getOffers,offers,none,"{status: 'success', count: n, offers: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,BuyerPortal.jsx:227 on mount; should load only on My Offers tab
API-029,frontend/src/pages/BuyerPortal.jsx,loadMarketData,COMPONENT_MOUNT,GET,/api/deals,"?buyer_id={id}",NO,BUYER,backend/src/routes/marketRoutes.js,router.get(/deals),db.getDeals,deals,none,"{status: 'success', count: n, deals: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,BuyerPortal.jsx:228 on mount; should load only on Orders/Deals tab
API-030,frontend/src/pages/BuyerPortal.jsx,handlePlaceOffer,FORM_SUBMIT,POST,/api/offers,"{lot_id, buyer_id, buyer_name, buyer_phone, offered_price_per_qtl, quantity_requested_qtl, delivery_destination}",NO,BUYER,backend/src/routes/marketRoutes.js,router.post(/offers),db.createOffer,offers|produce_lots|audit_logs,none,"{status: 'success', message, offer: {}}",400|500,NONE,NO,NO,REQUIRED,BuyerPortal.jsx:321 on submit offer modal
API-031,frontend/src/pages/BuyerPortal.jsx,handleLockEscrow,BUTTON_CLICK,POST,/api/deals/:id/escrow/lock,"{lock_amount, payment_reference}",NO,BUYER,backend/src/routes/marketRoutes.js,router.post(/deals/:id/escrow/lock),db.lockEscrowFunds,deals|audit_logs,none,"{status: 'success', message, escrow: {}}",400|404|500,NONE,NO,NO,REQUIRED,BuyerPortal.jsx:382 on Lock Escrow button
API-032,frontend/src/pages/BuyerPortal.jsx,handleAcceptCounter,BUTTON_CLICK,POST,/api/offers/:id/accept-counter,:id path param,NO,BUYER,backend/src/routes/marketRoutes.js,router.post(/offers/:id/accept-counter),db.acceptCounterOffer,offers|deals|produce_lots,none,"{status: 'success', message, deal: {}}",400|404|500,NONE,NO,NO,REQUIRED,BuyerPortal.jsx:420 on Accept Counter button
API-033,frontend/src/pages/TransporterPortal.jsx,loadData,COMPONENT_MOUNT,GET,/api/transporters/:id,:id path param,NO,TRANSPORTER,backend/src/routes/marketRoutes.js,router.get(/transporters/:id),db.getTransporterById,transporters,none,"{status: 'success', transporter: {}}",404|500,NONE,NO,NO,REQUIRED,TransporterPortal.jsx:32 on mount
API-034,frontend/src/pages/TransporterPortal.jsx,loadData,COMPONENT_MOUNT,GET,/api/transporters/available-trips,"?district=all",NO,TRANSPORTER,backend/src/routes/marketRoutes.js,router.get(/transporters/available-trips),db.getAvailableTrips,deals|produce_lots,none,"{status: 'success', count: n, trips: []}",500,NONE,NO,NO,REQUIRED,TransporterPortal.jsx:54 loads pending pickups
API-035,frontend/src/pages/TransporterPortal.jsx,loadData,COMPONENT_MOUNT,GET,/api/transporters/:id/trips,:id path param,NO,TRANSPORTER,backend/src/routes/marketRoutes.js,router.get(/transporters/:id/trips),db.getTransporterTrips,deals|transporters,none,"{status: 'success', count: n, trips: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,TransporterPortal.jsx:59 on mount; should load only on My Trips tab
API-036,frontend/src/pages/TransporterPortal.jsx,toggleAvailability,BUTTON_CLICK,PATCH,/api/transporters/:id/status,"{is_available: boolean}",NO,TRANSPORTER,backend/src/routes/marketRoutes.js,router.patch(/transporters/:id/status),db.updateTransporterStatus,transporters,none,"{status: 'success', message, transporter: {}}",404|500,NONE,NO,NO,REQUIRED,TransporterPortal.jsx:81 on toggle availability button
API-037,frontend/src/pages/TransporterPortal.jsx,handleAcceptTrip,BUTTON_CLICK,POST,/api/transporters/accept-trip,"{deal_id, transporter_id, driver_name, vehicle_number, ...}",NO,TRANSPORTER,backend/src/routes/marketRoutes.js,router.post(/transporters/accept-trip),db.acceptTrip,deals|transporters|audit_logs,none,"{status: 'success', message, deal: {}}",400|404|500,NONE,NO,NO,REQUIRED,TransporterPortal.jsx:115 on Accept Trip button
API-038,frontend/src/pages/TransporterPortal.jsx,handleUpdateMilestone,BUTTON_CLICK,PATCH,/api/transporters/trips/:dealId/milestone,"{milestone: string}",NO,TRANSPORTER,backend/src/routes/marketRoutes.js,router.patch(/transporters/trips/:dealId/milestone),db.updateTripMilestone,deals|audit_logs,none,"{status: 'success', message, deal: {}}",400|404|500,NONE,NO,NO,REQUIRED,TransporterPortal.jsx:135 on Update Milestone button
API-039,frontend/src/pages/SuperAdminDashboard.jsx,handleAdminLogin,FORM_SUBMIT,POST,/api/admin/login,"{username, password}",NO,ADMIN,backend/src/routes/adminRoutes.js,router.post(/login),fixedCredentials,none,none,"{status: 'success', message, user: {}, token: string}",400|401|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:94 admin login form
API-040,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/stats,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/stats),db.getAdminStats,users|produce_lots|deals,none,"{status: 'success', stats: {}}",500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:58 on admin login
API-041,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/buyers,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/buyers),db.getAllBuyers,buyer_profiles|users,none,"{status: 'success', count: n, buyers: []}",500,NONE,NO,NO,PREMATURE,SuperAdminDashboard.jsx:59 loads all buyers on mount before tab open
API-042,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/transporters,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/transporters),db.getAllTransporters,transporters,none,"{status: 'success', count: n, transporters: []}",500,NONE,NO,NO,PREMATURE,SuperAdminDashboard.jsx:60 loads all transporters on mount before tab open
API-043,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/farmers,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/farmers),db.getAllFarmers,users|farmer_profiles,none,"{status: 'success', count: n, farmers: []}",500,NONE,NO,NO,PREMATURE,SuperAdminDashboard.jsx:61 loads all farmers on mount before tab open
API-044,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/lots,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/lots),db.getLots,produce_lots,none,"{status: 'success', count: n, lots: []}",500,NONE,NO,NO,PREMATURE,SuperAdminDashboard.jsx:62 loads all lots on mount before tab open
API-045,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/deals,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/deals),db.getDeals,deals,none,"{status: 'success', count: n, deals: []}",500,NONE,NO,NO,PREMATURE,SuperAdminDashboard.jsx:63 loads all deals on mount before tab open
API-046,frontend/src/pages/SuperAdminDashboard.jsx,loadDashboardData,COMPONENT_MOUNT,GET,/api/admin/supabase-status,none,NO,ADMIN,backend/src/routes/adminRoutes.js,router.get(/supabase-status),db.getSupabaseStatus,none,none,"{status: 'success', supabase: {}}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,SuperAdminDashboard.jsx:64 checks Supabase connection info
API-047,frontend/src/pages/SuperAdminDashboard.jsx,handleVerifyBuyer,BUTTON_CLICK,POST,/api/admin/buyers/:id/verify,"{admin_notes: string}",NO,ADMIN,backend/src/routes/adminRoutes.js,router.post(/buyers/:id/verify),db.verifyBuyer,buyer_profiles|users,none,"{status: 'success', message, buyer: {}}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:120 on Verify Buyer button
API-048,frontend/src/pages/SuperAdminDashboard.jsx,handleRejectBuyer,BUTTON_CLICK,POST,/api/admin/buyers/:id/reject,"{reason: string}",NO,ADMIN,backend/src/routes/adminRoutes.js,router.post(/buyers/:id/reject),db.rejectBuyer,buyer_profiles|users,none,"{status: 'success', message}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:136 on Reject Buyer button
API-049,frontend/src/pages/SuperAdminDashboard.jsx,handleVerifyFarmer,BUTTON_CLICK,POST,/api/admin/farmers/:id/verify,"{verified: boolean}",NO,ADMIN,backend/src/routes/adminRoutes.js,router.post(/farmers/:id/verify),db.verifyFarmer,users|farmer_profiles,none,"{status: 'success', message, farmer: {}}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:147 on Verify Farmer button
API-050,frontend/src/pages/SuperAdminDashboard.jsx,handleDeleteFarmer,BUTTON_CLICK,DELETE,/api/admin/farmers/:id,:id path param,NO,ADMIN,backend/src/routes/adminRoutes.js,router.delete(/farmers/:id),db.deleteFarmer,users|farmer_profiles,none,"{status: 'success', message}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:161 on Delete Farmer button
API-051,frontend/src/pages/SuperAdminDashboard.jsx,handleDeleteBuyer,BUTTON_CLICK,DELETE,/api/admin/buyers/:id,:id path param,NO,ADMIN,backend/src/routes/adminRoutes.js,router.delete(/buyers/:id),db.deleteBuyer,buyer_profiles|users,none,"{status: 'success', message}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:175 on Delete Buyer button
API-052,frontend/src/pages/SuperAdminDashboard.jsx,handleVerifyTransporter,BUTTON_CLICK,POST,/api/admin/transporters/:id/verify,"{admin_notes: string}",NO,ADMIN,backend/src/routes/adminRoutes.js,router.post(/transporters/:id/verify),db.verifyTransporter,transporters,none,"{status: 'success', message, transporter: {}}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:186 on Verify Transporter button
API-053,frontend/src/pages/SuperAdminDashboard.jsx,handleRejectTransporter,BUTTON_CLICK,POST,/api/admin/transporters/:id/reject,"{reason: string}",NO,ADMIN,backend/src/routes/adminRoutes.js,router.post(/transporters/:id/reject),db.rejectTransporter,transporters,none,"{status: 'success', message}",404|500,NONE,NO,NO,REQUIRED,SuperAdminDashboard.jsx:202 on Reject Transporter button
API-054,frontend/src/components/admin/DisputeResolutionDesk.jsx,loadDisputes,TAB_CHANGE,GET,/api/disputes,none,NO,ADMIN,backend/src/routes/marketRoutes.js,router.get(/disputes),db.getDisputes,disputes,none,"{status: 'success', count: n, disputes: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,DisputeResolutionDesk.jsx:29 mounts when admin clicks disputes tab
API-055,frontend/src/components/admin/DisputeResolutionDesk.jsx,handleExecuteRuling,BUTTON_CLICK,POST,/api/disputes/:id/resolve,"{ruling, resolution_notes, refund_buyer_amount, release_farmer_amount, arbitrated_by}",NO,ADMIN,backend/src/routes/marketRoutes.js,router.post(/disputes/:id/resolve),db.resolveDispute,disputes|deals|audit_logs,none,"{status: 'success', message, dispute: {}}",400|404|500,NONE,NO,NO,REQUIRED,DisputeResolutionDesk.jsx:60 on Resolve Ruling submit
API-056,frontend/src/pages/FpoPortal.jsx,fetchFpoData,COMPONENT_MOUNT,GET,/api/fpo/profile/:identifier,:identifier path param,NO,FPO,backend/src/routes/fpoRoutes.js,router.get(/profile/:identifier),db.getFpoProfile,fpos|produce_lots|deals,none,"{status: 'success', profile: {}}",404|500,NONE,NO,NO,REQUIRED,FpoPortal.jsx:193 on mount
API-057,frontend/src/pages/FpoPortal.jsx,fetchFpoData,COMPONENT_MOUNT,GET,/api/fpo/eligible-lots,"?district={district}&crop={crop}",NO,FPO,backend/src/routes/fpoRoutes.js,router.get(/eligible-lots),db.getEligibleSmallholderLots,produce_lots,none,"{status: 'success', count: n, lots: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,FpoPortal.jsx:198 on mount; should load only on Aggregation tab
API-058,frontend/src/pages/FpoPortal.jsx,fetchFpoData,COMPONENT_MOUNT,GET,/api/fpo/bulk-lots,"?fpo_id={id}",NO,FPO,backend/src/routes/fpoRoutes.js,router.get(/bulk-lots),db.getFpoLots,produce_lots,none,"{status: 'success', count: n, lots: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,FpoPortal.jsx:202 on mount; should load only on Bulk Lots tab
API-059,frontend/src/pages/FpoPortal.jsx,fetchFpoData,COMPONENT_MOUNT,GET,/api/fpo/deals,"?fpo_id={id}",NO,FPO,backend/src/routes/fpoRoutes.js,router.get(/deals),db.getFpoDeals,deals,none,"{status: 'success', count: n, deals: []}",500,NONE,NO,NO,CONDITIONALLY_REQUIRED,FpoPortal.jsx:206 on mount; should load only on FPO Deals tab
API-060,frontend/src/pages/FpoPortal.jsx,fetchFpoData,COMPONENT_MOUNT,GET,/api/fpo/commission-ledger,"?fpo_id={id}",NO,FPO,backend/src/routes/fpoRoutes.js,router.get(/commission-ledger),db.getFpoCommissionLedger,deals,none,"{status: 'success', count: n, ledger: []}",500,NONE,NO,NO,PREMATURE,FpoPortal.jsx:211 on mount before Ledger tab is opened
API-061,frontend/src/pages/FpoPortal.jsx,handlePoolLots,FORM_SUBMIT,POST,/api/fpo/pool,"{fpo_id, fpo_name, crop, variety, district, selected_lot_ids, expected_price_per_qtl, member_contributions}",NO,FPO,backend/src/routes/fpoRoutes.js,router.post(/pool),db.createFpoBulkLot,produce_lots|audit_logs,none,"{status: 'success', message, bulkLot: {}}",400|500,NONE,NO,NO,REQUIRED,FpoPortal.jsx:298 on Create Bulk Lot submit
API-062,frontend/src/pages/FpoPortal.jsx,handleOpenPayoutSplit,BUTTON_CLICK,GET,/api/fpo/deals/:dealId/payout-split,:dealId path param,NO,FPO,backend/src/routes/fpoRoutes.js,router.get(/deals/:dealId/payout-split),db.getFpoDealPayoutSplit,deals|produce_lots,none,"{status: 'success', split: {}}",404|500,NONE,NO,NO,REQUIRED,FpoPortal.jsx:317 on View Payout Split button
API-063,frontend/src/services/api.js,api.getReferencePrices,UNKNOWN,GET,/api/mandi/reference-prices,"?commodity&district&limit",NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/reference-prices),mandiService.getLiveRates,mandi_prices,data.gov.in Agmarknet API,"{status: 'success', records: []}",500,NODE_CACHE_180S,NO,NO,DEAD_CODE,Defined in api.js:19 and mandiRoutes.js:22 but never referenced in frontend UI
API-064,frontend/src/services/api.js,api.getCommodities,UNKNOWN,GET,/api/mandi/commodities,none,NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/commodities),mandiService.getCommodities,none,none,"{status: 'success', commodities: []}",500,STATIC,NO,NO,DEAD_CODE,Defined in api.js:20 and mandiRoutes.js:37 but frontend hardcodes lists
API-065,frontend/src/services/api.js,api.getMandiHistory,UNKNOWN,GET,/api/mandi/history,"?commodity&market&district",NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/history),mandiService.getHistory,mandi_prices,none,"{status: 'success', history: []}",500,NONE,NO,NO,DEAD_CODE,Defined in api.js:21 but FarmerPortal uses getMandiAdvisor
API-066,frontend/src/services/api.js,api.getSummary,UNKNOWN,GET,/api/mandi/summary,none,NO,NONE,backend/src/routes/mandiRoutes.js,router.get(/summary),mandiService.getLiveRates,mandi_prices,data.gov.in Agmarknet API,"{status: 'success', summary: []}",500,NONE,NO,NO,DEAD_CODE,Defined in api.js:24 but not consumed in any page
API-067,frontend/src/services/api.js,api.getEscrowStatus,UNKNOWN,GET,/api/deals/:id/escrow,:id path param,NO,NONE,backend/src/routes/marketRoutes.js,router.get(/deals/:id/escrow),db.getEscrowStatus,deals,none,"{status: 'success', escrow: {}}",404|500,NONE,NO,NO,DEAD_CODE,Defined in api.js:55 but not called directly
API-068,frontend/src/services/api.js,api.recordWeighmentAssay,BUTTON_CLICK,POST,/api/deals/:dealId/weighment-assay,"{deal_id, gross_weight_qtl, tare_weight_qtl, moisture_measured_pct, foreign_matter_pct}",NO,BUYER|ADMIN,backend/src/routes/marketRoutes.js,router.post(/deals/:dealId/weighment-assay),db.recordWeighmentAssay,deals|audit_logs,none,"{status: 'success', message, weighment: {}}",400|404|500,NONE,NO,NO,CONDITIONALLY_REQUIRED,api.js:56 used during gate entry assay workflow
API-069,frontend/src/services/api.js,api.settleDealEscrow,BUTTON_CLICK,POST,/api/deals/:dealId/settle,"{deal_id, deductions, final_payout}",NO,BUYER|ADMIN,backend/src/routes/marketRoutes.js,router.post(/deals/:dealId/settle),db.settleDealEscrow,deals|audit_logs,none,"{status: 'success', message, deal: {}}",400|404|500,NONE,NO,NO,REQUIRED,api.js:58 used during final escrow payout
API-070,frontend/src/services/api.js,api.getSettlementInvoice,BUTTON_CLICK,GET,/api/deals/:dealId/settlement-invoice,:dealId path param,NO,ANY,backend/src/routes/marketRoutes.js,router.get(/deals/:dealId/settlement-invoice),db.getSettlementInvoice,deals|produce_lots|users,none,"{status: 'success', invoice: {}}",404|500,NONE,NO,NO,REQUIRED,api.js:59 invoice generator
